feature,min,max
left_elbow_angle,30.900023486149056,179.84473172568218
right_elbow_angle,11.354820428743869,179.48181424466563
left_knee_angle,165.6526760344109,179.9029887360682
right_knee_angle,166.65070191607373,179.8971728251397
left_ankle_dorsiflexion,158.7367076693267,179.41675284618748
right_ankle_dorsiflexion,151.70866969426928,178.2638477088574
neck_tilt,168.43536598433866,179.94139300011074
torso_tilt,176.3166866221199,179.99672507555368
